gene	module
AK8	red
AKAP1	grey
AKAP10	grey
AKAP11	grey
AKAP12	pink
AKAP13	turquoise
AKAP14	green
AKAP17A	grey
AKAP6	red
AKAP7	black
AKAP8	grey
AKAP8L	grey
AKAP9	grey
AKD1	green
AKIP1	grey
AKIRIN1	grey
AKIRIN2	greenyellow
AKNA	darkred
AKR1A1	grey
AKR1B1	grey
AKR1B10	grey
AKR1C2	grey
AKR1C3	black
AKR1C4	black
AKR1CL1	grey
AKR1E2	grey
AKR7A2	red
AKR7A2P1	turquoise
AKR7A3	grey
AKT1	yellow
AKT1S1	grey
AKT2	grey
AKT3	grey
AKTIP	grey
ALAD	grey
ALAS1	grey
ALCAM	grey
ALDH16A1	grey
ALDH18A1	salmon
ALDH1A1	grey
ALDH1A3	yellow
ALDH1B1	pink
ALDH1L1	grey
ALDH1L2	grey
ALDH2	grey
ALDH3A1	grey
ALDH3A2	grey
ALDH3B1	red
ALDH3B2	grey
ALDH4A1	salmon
ALDH5A1	darkred
ALDH6A1	grey
ALDH7A1	grey
ALDH9A1	grey
ALDOC	brown
ALG1	grey
ALG10	grey
ALG11	grey
ALG12	greenyellow
ALG13	grey
ALG14	blue
ALG1L	grey
ALG2	yellow
ALG3	turquoise
ALG5	blue
ALG6	blue
ALG8	grey
ALG9	grey
ALKBH1	grey
ALKBH2	grey
ALKBH3	black
ALKBH4	grey
ALKBH5	grey
ALKBH6	grey
ALKBH7	grey
ALKBH8	grey
ALMS1	red
ALOX12	turquoise
ALOX15	brown
ALOX15B	brown
ALOX5	grey
ALOX5AP	grey
ALOXE3	grey
ALPI	turquoise
ALPK1	salmon
ALPK3	grey
ALPL	brown
ALPP	turquoise
ALS2	grey
ALS2CL	turquoise
ALS2CR12	red
ALS2CR8	black
ALX1	black
ALYREF	salmon
AMACR	grey
AMBRA1	greenyellow
AMD1	brown
AMDHD2	grey
AMFR	cyan
AMIGO1	salmon
AMIGO2	pink
AMIGO3	turquoise
AMMECR1	greenyellow
AMMECR1L	yellow
AMN	turquoise
AMN1	blue
AMOT	brown
AMOTL1	yellow
AMOTL2	yellow
AMPD2	yellow
AMPD3	grey
AMT	turquoise
AMTN	grey
AMZ2	black
AMZ2P1	black
ANAPC1	darkred
ANAPC10	blue
ANAPC13	blue
ANAPC16	blue
ANAPC2	salmon
ANAPC4	grey
ANAPC5	grey
ANAPC7	grey
ANGEL1	grey
ANGEL2	grey
ANGPT1	black
ANGPTL2	grey
ANGPTL4	grey
ANGPTL5	green
ANGPTL6	turquoise
ANGPTL7	turquoise
ANK1	yellow
ANKAR	grey
ANKDD1A	grey
ANKFN1	red
ANKFY1	greenyellow
ANKH	darkred
ANKIB1	lightgreen
ANKK1	grey
ANKLE2	lightcyan
ANKMY1	red
ANKMY2	blue
ANKRA2	blue
ANKRD1	grey
ANKRD10	grey
ANKRD11	greenyellow
ANKRD12	blue
ANKRD13A	royalblue
ANKRD13B	turquoise
ANKRD13C	grey
ANKRD13D	grey
ANKRD16	turquoise
ANKRD17	greenyellow
ANKRD18A	grey
ANKRD20A9P	turquoise
ANKRD22	royalblue
ANKRD23	green
ANKRD24	turquoise
ANKRD26	green
ANKRD27	grey
ANKRD28	grey
ANKRD29	grey
ANKRD31	grey
ANKRD32	black
ANKRD33B	grey
ANKRD34B	pink
ANKRD35	grey
ANKRD36	black
ANKRD36B	grey
ANKRD37	black
ANKRD39	grey
ANKRD40	grey
ANKRD42	green
ANKRD44	grey
ANKRD45	green
ANKRD46	grey
ANKRD49	blue
ANKRD5	darkred
ANKRD50	salmon
ANKRD52	grey60
ANKRD53	darkred
ANKRD54	red
ANKRD6	grey
ANKRD63	turquoise
ANKRD65	grey
ANKRD9	brown
ANKS1A	darkred
ANKS3	grey
ANKS6	grey
ANKUB1	green
ANKZF1	darkred
ANLN	green
ANO1	brown
ANO10	grey
ANO3	grey
ANO6	pink
ANO8	brown
ANO9	grey
ANP32A	grey
ANP32B	grey
ANP32C	turquoise
ANP32D	turquoise
ANP32E	black
ANPEP	grey
ANTXR1	grey
ANTXR2	grey
ANXA1	blue
ANXA10	black
ANXA11	greenyellow
ANXA2	grey
ANXA2P1	turquoise
ANXA2P3	turquoise
ANXA3	grey
ANXA4	brown
ANXA5	grey
ANXA6	lightcyan
ANXA7	lightyellow
ANXA9	grey
AOC2	grey
AOC3	grey
AOX1	grey
AP1AR	grey
AP1B1	greenyellow
AP1G1	greenyellow
AP1G2	grey
AP1M1	grey
AP1M2	grey
AP1S1	grey
AP1S2	grey
AP1S3	lightgreen
AP2A1	greenyellow
AP2A2	greenyellow
AP2B1	grey
AP2M1	yellow
AP2S1	greenyellow
AP3B1	royalblue
AP3B2	grey
AP3D1	greenyellow
AP3M1	yellow
AP3M2	red
AP3S1	grey
AP4E1	cyan
AP4M1	grey
APAF1	grey60
APBA1	grey
APBA2	grey
APBA3	grey
APBB1	turquoise
APBB2	grey
APBB3	grey
APC	greenyellow
APCDD1	grey
APCS	turquoise
APEH	grey
APEX2	grey60
APH1A	lightgreen
APH1B	grey
API5	grey60
APIP	blue
APLF	blue
APLNR	turquoise
APLP1	turquoise
APOA1	grey
APOA1BP	grey
APOB	turquoise
APOBEC3B	grey
APOBEC3C	brown
APOBEC3D	grey
APOBEC3F	darkred
APOBEC4	green
APOBR	turquoise
APOC1	grey
APOD	grey
APOE	pink
APOL1	brown
APOL2	turquoise
APOL3	grey
APOL4	grey
APOL6	greenyellow
APOM	turquoise
APOO	green
APOOL	grey
APP	pink
APPBP2	grey
APPL1	grey
APPL2	darkred
APRT	grey
APTX	grey
AQP10	turquoise
AQP3	grey
AQP4	grey
AQP5	grey
AQP7	red
AQP7P1	turquoise
AQP8	turquoise
AQR	grey
AR	grey
ARAF	yellow
ARAP1	grey
ARAP2	grey
ARAP3	grey
ARCN1	cyan
AREG	grey
ARF1	greenyellow
ARF3	grey
ARF4	grey
ARF5	brown
ARF6	grey
ARFGAP1	grey
ARFGAP2	grey
ARFGAP3	grey
ARFGEF1	grey
ARFGEF2	greenyellow
ARFIP1	blue
ARFIP2	grey
ARFRP1	grey
ARG2	grey
ARGFX	turquoise
ARGLU1	grey
ARHGAP1	greenyellow
ARHGAP10	lightgreen
ARHGAP11A	grey
ARHGAP11B	grey
ARHGAP12	grey
ARHGAP17	yellow
ARHGAP18	green
ARHGAP19	grey
ARHGAP20	grey
ARHGAP21	grey60
ARHGAP23	grey
ARHGAP24	grey
ARHGAP25	grey
ARHGAP26	grey
ARHGAP27	brown
ARHGAP29	grey
ARHGAP30	red
ARHGAP31	pink
ARHGAP32	turquoise
ARHGAP33	red
ARHGAP35	greenyellow
ARHGAP39	grey
ARHGAP4	grey
ARHGAP40	brown
ARHGAP42	grey
ARHGAP44	grey
ARHGAP5	blue
ARHGAP6	red
ARHGAP9	turquoise
ARHGDIA	grey
ARHGDIB	grey
ARHGEF1	cyan
ARHGEF10	yellow
ARHGEF10L	grey
ARHGEF11	greenyellow
ARHGEF12	greenyellow
ARHGEF16	lightcyan
ARHGEF17	grey
ARHGEF18	greenyellow
ARHGEF19	grey
ARHGEF2	yellow
ARHGEF3	grey60
ARHGEF33	green
ARHGEF35	grey
ARHGEF37	lightcyan
ARHGEF38	grey
ARHGEF40	yellow
ARHGEF6	grey
ARHGEF7	yellow
ARHGEF9	lightgreen
ARID1A	greenyellow
ARID1B	greenyellow
ARID2	grey
ARID3A	lightcyan
ARID3B	turquoise
ARID4A	grey
ARID4B	grey
ARID5A	yellow
ARID5B	grey
ARIH1	grey60
ARIH2	greenyellow
ARL1	grey
ARL10	grey
ARL11	grey
ARL13B	green
ARL14	grey
ARL15	grey
ARL16	black
ARL17A	grey
ARL2	grey
ARL2BP	grey
ARL3	green
ARL4A	green
ARL4C	grey
ARL4D	brown
ARL5A	blue
ARL5B	grey
ARL6	green
ARL6IP1	blue
ARL6IP4	grey
ARL6IP5	grey
ARL6IP6	blue
ARL8A	yellow
ARL8B	grey
ARL9	black
ARMC1	blue
ARMC10	grey
ARMC2	red
ARMC3	green
ARMC4	green
ARMC5	turquoise
ARMC6	grey
ARMC7	greenyellow
ARMC8	grey
ARMC9	red
ARMCX1	grey
ARMCX2	grey
ARMCX3	grey
ARMCX4	turquoise
ARMCX5	grey
ARMCX6	grey
ARNT	greenyellow
ARNT2	grey
ARNTL	grey
ARPC1A	yellow
ARPC1B	salmon
ARPC2	grey
ARPC3	grey
ARPC5	yellow
ARPC5L	turquoise
ACTRT3	grey
ARPP19	grey
ARRB1	salmon
ARRB2	lightyellow
ARRDC1	grey
ARRDC2	brown
ARRDC3	grey
ARRDC4	brown
ARSA	grey
ARSB	yellow
ARSD	grey
ARSE	grey
ARSI	grey
ARSJ	grey
ARSK	grey
ARTN	turquoise
ARV1	blue
ARVCF	grey
ARX	red
AS3MT	grey
ASAH1	grey
ASAP1	grey
ASAP2	yellow
ASAP3	grey
ASB1	grey
ASB11	grey
ASB13	grey
ASB14	green
ASB5	turquoise
ASB6	yellow
ASB7	salmon
ASB8	grey
ASB9	green
ASB9P1	turquoise
ASCC1	grey
ASCC2	greenyellow
ASCC3	grey
ASCL3	green
ASCL4	turquoise
ASF1A	grey
ASF1B	darkred
ASH1L	greenyellow
ASH2L	grey
ASL	darkred
ASMTL	grey
ASNA1	grey
ASNS	grey
ASNSD1	blue
ASPDH	turquoise
ASPH	grey60
ASPHD1	grey
ASPHD2	yellow
ASPM	grey
ASPRV1	turquoise
ASRGL1	grey
ASS1	grey
ASTE1	grey
ASUN	grey
ASXL1	grey
ASXL2	greenyellow
ATAD1	blue
ATAD2	grey
ATAD2B	grey
ATAD3A	darkred
ATAD3B	grey
ATAD3C	brown
ATAD5	grey
ATAT1	grey
ATE1	grey
ATF1	blue
ATF2	blue
ATF3	grey
ATF4	grey
ATF5	greenyellow
ATF6	grey
ATF6B	grey
ATF7	greenyellow
ATF7IP	grey
ATF7IP2	black
ATG10	blue
ATG12	grey
ATG14	blue
ATG16L1	grey
ATG16L2	grey
ATG2A	greenyellow
ATG2B	darkred
ATG3	blue
ATG4A	blue
ATG4B	grey
ATG4C	blue
ATG4D	grey
ATG5	blue
ATG7	grey
ATG9A	yellow
ATG9B	turquoise
ATHL1	grey
ATIC	grey
ATL1	black
ATL2	grey
ATL3	yellow
ATM	grey
ATMIN	yellow
ATN1	greenyellow
ATOH1	turquoise
ATOH7	turquoise
ATOH8	brown
ATOX1	grey
ATP10A	grey
ATP10B	grey
ATP10D	grey
ATP11A	greenyellow
ATP11B	lightgreen
ATP11C	grey
ATP12A	brown
ATP13A1	salmon
ATP13A2	yellow
ATP13A3	grey
ATP13A4	brown
ATP13A5	brown
ATP1A1	cyan
ATP1B1	lightcyan
ATP1B2	turquoise
ATP1B3	grey
ATP2A2	greenyellow
ATP2A3	grey
ATP2B1	grey
ATP2B2	turquoise
ATP2B4	grey
ATP2C1	grey
ATP2C2	grey
ATP5A1	grey
ATP5B	grey
ATP5C1	blue
ATP5D	grey
ATP5E	blue
ATP5EP2	turquoise
ATP5F1	blue
ATP5G1	grey
ATP5G2	blue
ATP5G3	blue
ATP5H	blue
ATP5I	blue
ATP5J	grey
ATP5L	blue
ATP5L2	turquoise
ATP5S	grey
ATP5SL	yellow
ATP6AP1	grey
ATP6AP1L	grey
ATP6AP2	grey
ATP6V0A1	grey60
ATP6V0A2	grey
ATP6V0A4	grey
ATP6V0B	royalblue
ATP6V0C	greenyellow
ATP6V0CP3	turquoise
ATP6V0D1	grey
ATP6V0D2	grey
ATP6V0E1	grey
ATP6V0E2	grey
ATP6V1A	grey
ATP6V1B1	grey
ATP6V1B2	lightgreen
ATP6V1C1	blue
ATP6V1C2	grey
ATP6V1D	blue
ATP6V1E1	blue
ATP6V1E2	grey
ATP6V1F	turquoise
ATP6V1G1	blue
ATP6V1G2	grey
ATP6V1H	grey60
ATP7A	grey
ATP7B	grey
ATP8A1	grey
ATP8B1	grey
ATP8B2	grey
ATP8B3	brown
ATP8B4	grey
ATP9A	greenyellow
ATP9B	grey
ATPAF1	black
ATPAF2	yellow
ATPBD4	blue
ATPIF1	black
ATR	green
ATRIP	grey
ATRN	greenyellow
ATRNL1	brown
ATRX	grey
ATXN1	grey
ATXN10	blue
ATXN1L	greenyellow
ATXN2	darkred
ATXN2L	greenyellow
ATXN3	blue
ATXN3L	turquoise
ATXN7	grey
ATXN7L1	darkred
ATXN7L2	grey
ATXN7L3	grey60
ATXN7L3B	darkred
AUH	grey
AUP1	lightcyan
AURKAIP1	grey
AURKAPS1	turquoise
AURKC	grey
AVEN	grey
AVIL	turquoise
AVL9	greenyellow
AVPI1	brown
AVPR2	turquoise
AWAT1	turquoise
AWAT2	turquoise
AXDND1	green
AXIN1	grey
AXIN2	darkred
AXL	grey
AZGP1	royalblue
AZI1	darkred
AZI2	black
AZIN1	grey
AZU1	red
B2M	blue
B3GALNT1	grey
B3GALNT2	grey
B3GALT2	grey
B3GALT4	turquoise
B3GALT6	turquoise
B3GALTL	grey
B3GAT1	turquoise
B3GAT3	grey
B3GNT1	grey
B3GNT2	royalblue
B3GNT3	greenyellow
B3GNT5	grey
B3GNT6	brown
B3GNTL1	red
B4GALNT1	turquoise
B4GALNT2	grey
B4GALNT3	grey
B4GALNT4	grey
B4GALT1	yellow
B4GALT2	lightcyan
B4GALT3	yellow
B4GALT4	grey
B4GALT5	greenyellow
B4GALT6	grey
B4GALT7	salmon
NCR3LG1	grey
B9D1	green
B9D2	red
BAALC	grey
BABAM1	grey
BACE1	grey
BACE2	grey
BACH1	grey
BACH2	grey
BAD	grey
BAG1	grey
BAG2	green
BAG3	greenyellow
BAG4	grey
BAG5	grey
BAG6	greenyellow
BAHCC1	grey
BAHD1	greenyellow
BAI1	yellow
BAI2	grey
BAIAP2	greenyellow
BAIAP2L1	lightyellow
BAIAP3	red
BAK1	pink
BAMBI	yellow
BANF1	grey
BANK1	turquoise
BANP	grey
BAP1	greenyellow
BARD1	blue
BARX2	red
BASP1	grey
BASP1P1	turquoise
BATF	grey
BATF2	grey
BATF3	grey
BAX	grey
BAZ1A	grey
BAZ1B	cyan
BAZ2A	greenyellow
BAZ2B	grey
BBC3	turquoise
BBOX1	green
BBS1	darkred
BBS10	black
BBS12	green
BBS2	grey
BBS4	green
BBS7	black
BBS9	red
BBX	grey
BCAM	grey
BCAP29	grey
BCAP31	yellow
BCAR3	pink
BCAS1	grey
BCAS2	grey
BCAS3	darkred
BCAS4	turquoise
BCAT1	brown
BCAT2	grey
BCCIP	blue
BCDIN3D	grey
BCKDHA	grey
BCKDHB	grey
BCKDK	greenyellow
BCL10	grey60
BCL11A	grey
BCL11B	grey
BCL2	grey
BCL2A1	grey
BCL2L1	grey
BCL2L10	grey
BCL2L11	greenyellow
BCL2L12	grey
BCL2L13	greenyellow
BCL2L14	grey
BCL2L15	brown
BCL3	grey
BCL6	grey
BCL7A	darkred
BCL7B	salmon
BCL7C	grey
BCL9	lightyellow
BCL9L	greenyellow
BCLAF1	black
BCMO1	turquoise
BCO2	green
BCOR	greenyellow
BCR	greenyellow
BCRP3	grey
BCS1L	grey
BDH1	darkred
BDH2	blue
BDKRB1	grey
BDKRB2	grey
BDP1	grey
BEAN1	lightcyan
BECN1	lightyellow
BEND3	grey
BEND5	grey
BEST1	turquoise
BEST4	grey
BET1	blue
BET1L	greenyellow
BET3L	turquoise
BEX1	grey
BEX2	grey
BEX4	grey
BFAR	grey
BFSP1	grey
BGLAP	grey
BHLHA15	turquoise
BHLHE22	turquoise
BHLHE23	turquoise
BHLHE40	grey60
BHLHE41	grey
BHMT	grey
BICC1	grey
BICD1	grey
BICD2	yellow
BIK	brown
BIN2	brown
BIN3	grey
BIRC2	blue
BIRC3	grey
BIRC5	grey
BIRC6	grey
BIRC8	turquoise
BLCAP	grey
BLID	turquoise
BLM	green
BLMH	grey
BLNK	grey
BLOC1S1	blue
BLOC1S2	blue
BLOC1S3	grey
BLVRA	blue
BLVRB	royalblue
BLZF1	blue
BMF	darkred
BMP1	pink
BMP2	pink
BMP2K	black
BMP3	grey
BMP4	grey
BMP6	grey
BMP7	grey
BMP8A	brown
BMP8B	grey
BMPR1A	grey
BMPR1B	black
BMPR2	grey60
BMS1	grey
BMX	brown
BNC1	yellow
BNIP1	grey
BNIP2	grey
BNIP3	blue
BNIP3L	grey
BNIPL	turquoise
BOC	grey
BOD1	grey
BOD1L1	greenyellow
BOK	grey
BOLA1	grey
BOLA3	blue
BOP1	grey
BORA	black
BPGM	pink
BPHL	grey
BPI	grey
BPIFA2	grey
BPIFB1	yellow
BPIFB2	grey
BPIFB3	turquoise
BPNT1	blue
BPTF	greenyellow
BRAF	grey
BRAP	grey
BRAT1	darkred
BRCA1	green
BRCA2	green
BRCC3	turquoise
BRD1	greenyellow
BRD2	cyan
BRD3	cyan
BRD4	greenyellow
BRD7	grey
BRD8	green
BRD9	grey
BRE	grey
BRF1	grey
BRF2	grey
BRI3	grey
BRI3BP	grey
BRIP1	grey
BRIX1	blue
BRK1	blue
BRMS1	grey
BRMS1L	grey
BROX	grey
MPC2	blue
MPC1	grey
BRPF1	grey
BRPF3	greenyellow
BRSK1	grey
BRSK2	grey
BRWD1	grey
BRWD3	grey
BSCL2	red
BSDC1	pink
BSG	grey
BSND	grey
BSPRY	yellow
BST1	black
BST2	grey
BTAF1	grey
BTBD1	black
BTBD10	blue
BTBD11	yellow
BTBD16	grey
BTBD19	grey
BTBD2	grey
BTBD3	darkred
BTBD6	grey
BTBD7	greenyellow
BTBD8	blue
BTBD9	grey
BTC	black
BTD	grey
BTF3	grey
BTF3L4	blue
BTF3P11	turquoise
BTG1	lightcyan
BTG2	darkred
BTG3	blue
BTG4	green
BTN2A1	grey
BTN2A2	grey
BTN3A1	grey
BTN3A2	grey
BTN3A3	grey
BTRC	greenyellow
BUB1	green
BUB1B	grey
BUB3	blue
BUD13	grey
BUD31	black
BVES	pink
BYSL	yellow
BZRAP1	red
BZW1	blue
BZW2	lightgreen
C10orf10	grey
C10orf107	green
C10orf11	grey
C10orf111	grey
C10orf116	turquoise
C10orf118	blue
C10orf12	cyan
FUOM	grey
C10orf137	grey
C10orf2	grey
WBP1L	yellow
R3HCC1L	grey
C10orf32	black
C10orf35	grey
CACUL1	grey
C10orf47	brown
C10orf54	grey
C10orf55	turquoise
C10orf62	turquoise
C10orf67	green
C10orf76	turquoise
PLEKHS1	black
C10orf88	grey
C10orf95	red
C10orf99	turquoise
C11orf1	grey
C11orf10	blue
C11orf16	red
VPS51	grey
C11orf24	yellow
C11orf30	lightyellow
C11orf31	grey
C11orf35	grey
KIAA1549L	pink
ARL14EP	blue
C11orf48	red
C11orf49	red
ANAPC15	grey
C11orf52	green
C11orf53	grey
C11orf54	grey
C11orf57	black
C11orf58	blue
MSANTD2	grey
C11orf63	red
C11orf65	black
AAMDC	grey
C11orf70	green
C11orf73	blue
C11orf74	green
C11orf75	grey
C11orf80	grey
C11orf82	grey
C11orf83	grey
C11orf84	grey
C11orf85	green
C11orf88	green
C11orf9	brown
C11orf92	grey
C11orf93	brown
C11orf94	turquoise
C11orf95	grey
C11orf96	turquoise
C12orf10	darkred
CCER1	turquoise
C12orf23	grey
FAM216A	green
METTL25	grey
C12orf29	blue
LINC00612	grey
FAM222A	greenyellow
KIAA1551	lightgreen
C12orf36	turquoise
C12orf4	grey
C12orf43	grey
C12orf44	grey
C12orf45	grey
MAPKAPK5-AS1	grey
C12orf49	yellow
C12orf5	grey
HECTD4	cyan
C12orf52	red
C12orf54	grey
C12orf56	grey
C12orf57	blue
C12orf60	black
C12orf61	grey
COX14	grey
C12orf65	grey
C12orf66	grey
C12orf68	turquoise
C12orf70	grey
C12orf73	blue
C12orf74	grey
C12orf75	green
RGCC	grey
TEX29	grey
TEX26	grey
TEX30	black
FAM216B	red
MEDAG	grey
C14orf1	grey
C14orf101	grey
NRDE2	grey
TMEM251	royalblue
GPATCH2L	grey
C14orf119	blue
DTD2	black
GSKIP	blue
VIPAS39	grey
PCNXL4	black
C14orf142	green
L3HYPDH	blue
C14orf159	grey
C14orf162	turquoise
C14orf166	blue
C14orf169	turquoise
C14orf178	turquoise
C14orf182	grey
C14orf2	blue
NOP9	grey
C14orf28	grey
C14orf37	black
CCDC175	green
ELMSAN1	grey
CCDC176	green
SYNE3	grey
C14orf79	red
C14orf80	red
C14orf93	grey
FAM219B	grey
C15orf23	grey
EMC7	brown
C15orf26	green
KATNBL1	blue
FAM227B	black
HEXA-AS1	turquoise
C15orf37	turquoise
C15orf39	greenyellow
C15orf40	grey
C15orf41	grey
VWA9	grey
C15orf48	royalblue
C15orf52	pink
C15orf57	grey
GDPGP1	brown
C15orf61	grey
C15orf62	turquoise
HYPK	black
C16orf13	grey
C16orf3	turquoise
TSR3	grey
C16orf45	grey
C16orf46	red
ENKD1	red
C16orf5	yellow
C16orf52	grey
PAGR1	grey
C16orf54	darkred
C16orf55	red
USB1	yellow
C16orf58	yellow
C16orf59	turquoise
CMC2	blue
C16orf62	greenyellow
VPS9D1	grey
C16orf70	cyan
C16orf71	green
C16orf72	grey
C16orf74	grey
BRICD5	turquoise
C16orf80	green
C16orf82	turquoise
C16orf86	grey
C16orf87	blue
C16orf88	grey
C16orf89	green
C16orf92	turquoise
C16orf93	green
C16orf95	darkred
C17orf100	turquoise
OGFOD3	grey
C17orf103	grey
C17orf107	turquoise
LYRM9	grey
SMIM5	grey
SMIM6	green
HID1	greenyellow
GID4	grey
ADPRM	blue
